id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,8678,5550,3860,2216,15
2,2044,8464,3860,2216,11
3,9619,8313,3860,2216,17
4,503,3191,3860,2216,17
5,7782,6691,3860,2216,14
6,5111,6375,3860,2216,15
7,600,6960,3860,2216,18
8,9509,5252,3860,2216,12
9,8521,9180,3860,2216,13
10,8574,8626,3860,2216,20
11,4591,6878,3860,2216,10
12,4478,8132,3860,2216,18
13,2209,2851,3860,2216,16
14,1757,2729,3860,2216,16
15,5055,2701,3860,2216,10
16,1050,5091,3860,2216,11
17,7239,9300,3860,2216,11
18,6849,5550,3860,2216,19
19,3003,5922,3860,2216,13
20,9063,1419,3860,2216,13
21,5942,6266,3860,2216,15
22,9446,3845,3860,2216,12
23,9299,4966,3860,2216,10
24,722,5450,3860,2216,17
25,3033,1361,3860,2216,11
26,8738,4773,3860,2216,14
27,5064,319,3860,2216,11
28,8427,6161,3860,2216,11
29,3728,1539,3860,2216,10
30,3817,5366,3860,2216,15
